variant,trial,sweep,energy
ideal,3,186,-2.0
ideal,3,187,-2.0
ideal,3,188,-2.0
ideal,3,189,-2.0
ideal,3,190,-2.0
ideal,3,191,-2.0
ideal,3,192,-2.0
ideal,3,193,-2.0
ideal,3,194,-2.0
ideal,3,195,-2.0
ideal,3,196,-2.0
ideal,3,197,-2.0
ideal,3,198,-2.0
ideal,3,199,-2.0
ideal,3,200,-2.0
ideal,4,0,-2.0
ideal,4,1,0.0
ideal,4,2,0.0
ideal,4,3,3.0
ideal,4,4,0.0
ideal,4,5,-2.0
ideal,4,6,0.0
ideal,4,7,-1.0
ideal,4,8,0.0
ideal,4,9,-1.0
ideal,4,10,-1.0
ideal,4,11,1.0
ideal,4,12,0.0
ideal,4,13,1.0
ideal,4,14,-2.0
ideal,4,15,1.0
ideal,4,16,0.0
ideal,4,17,1.0
ideal,4,18,0.0
ideal,4,19,1.0
ideal,4,20,-2.0
ideal,4,21,0.0
ideal,4,22,1.0
ideal,4,23,-2.0
ideal,4,24,-1.0
ideal,4,25,0.0
ideal,4,26,0.0
ideal,4,27,-2.0
ideal,4,28,1.0
ideal,4,29,-1.0
ideal,4,30,-2.0
ideal,4,31,-1.0
ideal,4,32,0.0
ideal,4,33,-2.0
ideal,4,34,-1.0
ideal,4,35,0.0
ideal,4,36,-1.0
ideal,4,37,0.0
ideal,4,38,1.0
ideal,4,39,-2.0
ideal,4,40,-2.0
ideal,4,41,-2.0
ideal,4,42,-2.0
ideal,4,43,-2.0
ideal,4,44,-1.0
ideal,4,45,0.0
ideal,4,46,0.0
ideal,4,47,-2.0
ideal,4,48,-2.0
ideal,4,49,0.0
ideal,4,50,0.0
ideal,4,51,0.0
ideal,4,52,-1.0
ideal,4,53,1.0
ideal,4,54,-2.0
ideal,4,55,-1.0
ideal,4,56,0.0
ideal,4,57,0.0
ideal,4,58,-1.0
ideal,4,59,-2.0
ideal,4,60,-1.0
ideal,4,61,-2.0
ideal,4,62,-1.0
ideal,4,63,0.0
ideal,4,64,1.0
ideal,4,65,1.0
ideal,4,66,-2.0
ideal,4,67,0.0
ideal,4,68,0.0
ideal,4,69,-1.0
ideal,4,70,-2.0
ideal,4,71,-2.0
ideal,4,72,-2.0
ideal,4,73,0.0
ideal,4,74,-2.0
ideal,4,75,-1.0
ideal,4,76,-1.0
ideal,4,77,-2.0
ideal,4,78,-1.0
ideal,4,79,-1.0
ideal,4,80,-1.0
ideal,4,81,-1.0
ideal,4,82,-1.0
